cycle,capacity,avg_voltage,min_voltage,avg_current,avg_temp,duration,SOH,RUL,cell
0,739.1109210621779,3.7350762212583146,2.6998193,-17707.39990251029,40.41933992433481,0.041739932261407375,1.0,5800,oxford_Cell1
100,730.1929494056872,3.7356805096774193,2.6998594,-17703.787454763504,40.32711510434782,0.04124472278635949,0.9879341903869114,5700,oxford_Cell1
200,725.7467375962049,3.7364243172121894,2.7000198,-17702.310945588633,40.327297584650104,0.04099699924699962,0.9819185685326265,5600,oxford_Cell1
300,722.8431973239306,3.736473817903683,2.6999636,-17701.83833958164,40.32204489546742,0.04083407134748995,0.9779901456267633,5500,oxford_Cell1
400,718.3668958430143,3.7376955802965495,2.7001641,-17703.483048883503,40.314725823210715,0.04057742725126445,0.971933813142211,5400,oxford_Cell1
500,714.9787006955092,3.7380264149813804,2.6998432,-17701.65968580603,40.334303672300194,0.04039020149502903,0.9673496633874815,5300,oxford_Cell1
600,711.6204053941345,3.738322718618705,2.6999636,-17698.710759882822,40.30517850503597,0.04020718554966152,0.9628059674337693,5200,oxford_Cell1
700,709.5321170323996,3.738288945151954,2.7002044,-17750.52861767164,40.36040864196815,0.03997216385323554,0.9599805615275302,5100,oxford_Cell1
800,705.8480111354505,3.7388838780622637,2.7002444,-17750.78813418994,40.378438329938895,0.03976403234992176,0.9549960513654362,5000,oxford_Cell1
900,702.5449768529222,3.7392403858520904,2.700084,-17750.03545428894,40.38455092692195,0.0395796331577003,0.9505271222934892,4900,oxford_Cell1
1000,699.4156477527364,3.7395246271285965,2.6999238,-17748.8848500113,40.36335875513799,0.03940588817931712,0.9462932123200191,4800,oxford_Cell1
1100,696.2835912151658,3.739851762518431,2.6998034,-17748.816490670724,40.43320337776467,0.03922957484610379,0.9420556121867812,4700,oxford_Cell1
1200,693.2672854322545,3.7402309427428913,2.6999238,-17748.52587539771,40.393250269845964,0.03906027018092573,0.9379746201503268,4600,oxford_Cell1
1300,690.3687943593548,3.7403440400654375,2.7000439,-17748.75096330312,40.39081635336109,0.03889646811876446,0.9340530286945622,4500,oxford_Cell1
1400,687.6192406848993,3.7404744912809793,2.6999638,-17748.522187406834,40.383829926246634,0.03874205215834081,0.9303329460978877,4400,oxford_Cell1
1600,681.8263154580586,3.7412893832530125,2.700078,-17750.319036776244,0.5208844480873495,0.03841177269350737,0.92249525210398,4200,oxford_Cell1
1800,675.8871270316637,3.7415144606502584,2.6999977,-17751.320934271902,40.42639107323001,0.03807502728886902,0.9144596673802964,4000,oxford_Cell1
1900,672.743285643124,3.741878111050061,2.7002168,-17749.29338555996,40.36162140628815,0.037902251933701336,0.910206122615971,3900,oxford_Cell1
2000,669.7317983178508,3.74182866385653,2.7001567,-17748.25694322617,40.2979442066217,0.03773478663060814,0.9061316498413767,3800,oxford_Cell1
