cycle,avg_voltage,min_voltage,avg_current,avg_temp,duration,capacity,SOH,RUL,cell
2,2.7412654588785044,1.9995413,3.145056781187341,32.81875937850467,20.014238333333317,1.0706892,0.9974721507102738,1187,severson_b1_c0
3,2.732859125055928,1.999567,3.101643704710189,32.88729561744967,20.01456333333332,1.0719005,0.9986006182582378,1186,severson_b1_c0
4,2.759808688695652,1.9995861,3.1671291679545455,32.81608741739131,20.015201666666684,1.0725095,0.9991679729488264,1185,severson_b1_c0
5,2.742736284615384,1.9995298,3.132823902563436,32.85706856043956,20.016008333333353,1.073174,0.9997870323772273,1184,severson_b1_c0
6,2.7459591885135133,1.9995699,3.139089175681818,32.89521987162163,20.015888333333287,1.0735761,1.0,1183,severson_b1_c0
7,2.7406438103686632,1.999568,3.1028256993904484,32.779870790322576,20.016156666666696,1.0739917,1.0,1182,severson_b1_c0
8,2.7436654073226547,1.9995661,3.118793992675265,32.80357094965675,20.007805000000012,1.0743741,1.0,1181,severson_b1_c0
9,2.7460940809843404,1.9973965,3.1297792474740693,32.72365559955257,20.00767500000002,1.0744922,1.0,1180,severson_b1_c0
10,2.742157929478458,1.9995785,3.1250295375386514,32.76463595918368,20.007856666666704,1.0745373,1.0,1179,severson_b1_c0
11,2.7365025995565415,1.9957495,3.0895266697177988,32.64752027937916,20.008006666666674,1.0747814,1.0,1178,severson_b1_c0
12,3.0907288323802167,1.995822,1.152335578744555,30.41968827202473,205.66714333333346,1.5390544,1.0,1177,severson_b1_c0
13,2.7471087810989006,1.999568,3.136283347470529,32.53213670989011,20.016025000000084,1.0738269,1.0,1176,severson_b1_c0
14,2.760300022072072,1.9995794,3.182779986423014,32.55589001801802,20.0109199999999,1.0750562,1.0,1175,severson_b1_c0
15,2.744936681136364,1.9995604,3.135952824349174,32.56663611363637,20.011823333333204,1.0730921,0.9997107329533205,1174,severson_b1_c0
16,2.7636839797356827,1.9960546,3.210339558267921,32.73727935022027,20.013205000000013,1.0758405,1.0,1173,severson_b1_c0
17,2.7416523899772205,1.9959192,3.1327464870615027,32.619292961275626,20.013949999999994,1.072405,0.9990706189830357,1172,severson_b1_c0
18,2.7339331929705213,1.9995775,3.0993351779880434,32.645387074829934,20.014603333333312,1.0761998,1.0,1171,severson_b1_c0
19,2.7288328,1.9986506,3.0870958111587266,32.58185305263158,20.01529166666684,1.0761871,1.0,1170,severson_b1_c0
20,2.745630545190157,1.9995365,3.138990832570673,32.575264161073825,20.015133333333267,1.0764284,1.0,1169,severson_b1_c0
21,2.7345349233944956,1.999567,3.086110172681401,32.52144430275229,20.01546833333341,1.0765469,1.0,1168,severson_b1_c0
22,2.7283984210884356,1.9995441,3.074340123312719,32.538421428571425,20.015629999999994,1.0766536,1.0,1167,severson_b1_c0
23,2.728765205381166,1.998292,3.084282821651039,32.52626243273543,20.015934999999928,1.0766355,1.0,1166,severson_b1_c0
24,2.7269098601366744,1.9995728,3.076995014236902,32.525561161731204,20.0162866666668,1.0754509,1.0,1165,severson_b1_c0
25,2.7423063529801324,1.9978533,3.1296612818944407,32.52209336203091,20.00778166666666,1.0766494,1.0,1164,severson_b1_c0
26,2.7488274719026546,1.9995298,3.135643429271923,32.381939460176994,20.007828333333357,1.076545,1.0,1163,severson_b1_c0
27,2.7489564032822758,1.9995909,3.1423396142609903,32.4368536214442,20.008018333333403,1.0765674,1.0,1162,severson_b1_c0
28,2.732984363901345,1.9995804,3.079963438695475,32.455804378923766,20.008118333333307,1.0765301,1.0,1161,severson_b1_c0
29,2.754300953378378,1.9966154,3.16744835993448,32.399377781531534,20.008058333333366,1.0764797,1.0,1160,severson_b1_c0
30,2.7507012654627543,1.9995699,3.144419551454955,32.42419540632054,20.00809833333333,1.0765879,1.0,1159,severson_b1_c0
31,2.753009232671082,1.999588,3.1652205086534217,32.49229090507726,20.008101666666334,1.0766202,1.0,1158,severson_b1_c0
32,2.728036491494253,1.9995813,3.073779516560083,32.50214312873563,20.00815166666677,1.0766256,1.0,1157,severson_b1_c0
33,2.7462159210884356,1.9983158,3.1449003907482993,32.423500714285716,20.00800833333342,1.0766001,1.0,1156,severson_b1_c0
34,2.7292805545045047,1.9995394,3.0864373397747746,32.54524688288288,20.00824833333366,1.0766319,1.0,1155,severson_b1_c0
35,2.7453060448512585,1.9964619,3.141277318466819,32.48408571167048,20.008331666666592,1.0766066,1.0,1154,severson_b1_c0
36,2.725311492666667,1.9995165,3.075617347622222,32.49384331555555,20.008393333333274,1.076661,1.0,1153,severson_b1_c0
37,2.7324291283146067,1.9987459,3.116464468016343,32.37592939101123,20.008303333333366,1.0766382,1.0,1152,severson_b1_c0
38,2.7419546366292136,1.9962406,3.1260584368498465,32.463451132584275,20.00835333333331,1.0766717,1.0,1151,severson_b1_c0
39,2.749936976286353,1.9984722,3.163184682348993,32.438162879194635,20.00830833333311,1.0766507,1.0,1150,severson_b1_c0
40,2.735874373318386,1.9995213,3.1161894197492863,32.4821310515695,20.008325000000085,1.0767151,1.0,1149,severson_b1_c0
41,2.740613820501139,1.9995012,3.124089211341893,32.501853469248296,20.00858833333332,1.0766989,1.0,1148,severson_b1_c0
42,2.7491227856148495,1.999589,3.1666545257034375,32.51804227146172,20.008536666667112,1.0766598,1.0,1147,severson_b1_c0
43,2.740547461711712,1.9995852,3.13279751800778,32.56163324774774,20.008725000000176,1.0766748,1.0,1146,severson_b1_c0
44,2.7388805286681714,1.9976358,3.1285895937800126,32.57338185553047,20.008560000000095,1.0768414,1.0,1145,severson_b1_c0
45,2.7470637924611974,1.9980164,3.152178762183027,32.57659683813747,20.008653333333008,1.0766555,1.0,1144,severson_b1_c0
46,2.7304371822616407,1.9967299,3.100554742519653,32.673663467849224,20.00832500000009,1.0766659,1.0,1143,severson_b1_c0
47,2.7425856261851016,1.9995556,3.133032207859634,32.70817518058691,20.008536666666622,1.0766661,1.0,1142,severson_b1_c0
48,2.740975956599553,1.9995012,3.1279423387105956,32.69370787919463,20.008560000000095,1.0743055,1.0,1141,severson_b1_c0
49,2.7380727317351594,1.9970217,3.134532404767538,32.67486309589041,20.008524999999892,1.0768253,1.0,1140,severson_b1_c0
50,2.745233013888889,1.998107,3.148775801527778,32.60123980787037,20.008523333333628,1.0767562,1.0,1139,severson_b1_c0
51,2.7382793066059223,1.9995699,3.129146312886726,32.60933901366743,20.008593333333067,1.0767081,1.0,1138,severson_b1_c0
52,2.7327086325842695,1.996212,3.1058062804494377,32.50485438426966,20.008443333333226,1.076677,1.0,1137,severson_b1_c0
53,2.7394240555555553,1.9975967,3.135533173755926,32.41570656689343,20.00854000000011,1.0767009,1.0,1136,severson_b1_c0
54,2.7364300755011137,1.9995327,3.1058269689856246,32.35872015144766,20.00873833333317,1.076785,1.0,1135,severson_b1_c0
55,2.748643185354691,1.9995518,3.1621010009174118,32.39376668878719,20.00856666666659,1.076645,1.0,1134,severson_b1_c0
